Date,Biden,Trump
02. 07.,"37.43 % (Ipsos: 29.0 %, Ipsos: 32.0 %, Ipsos: 31.0 %, Ipsos: 34.0 %, Ipsos: 47.0 %, Ipsos: 38.0 %, Ipsos: 36.0 %, Ipsos: 39.0 %, Ipsos: 34.0 %, Ipsos: 36.0 %, Ipsos: 36.0 %, Ipsos: 42.0 %, Ipsos: 50.0 %, Ipsos: 40.0 %)","38.93 % (Ipsos: 37.0 %, Ipsos: 38.0 %, Ipsos: 37.0 %, Ipsos: 38.0 %, Ipsos: 35.0 %, Ipsos: 39.0 %, Ipsos: 36.0 %, Ipsos: 42.0 %, Ipsos: 40.0 %, Ipsos: 41.0 %, Ipsos: 40.0 %, Ipsos: 43.0 %, Ipsos: 39.0 %, Ipsos: 40.0 %)"
03. 02.,"39.67 % (Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 41.0 %, Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 37.0 %, Morning Consult: 41.0 %)","43.33 % (Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 45.0 %, Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 41.0 %, Morning Consult: 44.0 %)"
03. 03.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
03. 04.,"45.50 % (Emerson College: 42.0 %, Emerson College: 49.0 %)","47.00 % (Emerson College: 43.0 %, Emerson College: 51.0 %)"
03. 07.,"39.00 % (J.L. Partners: 42.0 %, J.L. Partners: 38.0 %, J.L. Partners: 37.0 %)","46.33 % (J.L. Partners: 47.0 %, J.L. Partners: 49.0 %, J.L. Partners: 43.0 %)"
04. 01.,"38.60 % (Noble Predictive Insights: 35.0 %, Noble Predictive Insights: 36.0 %, Noble Predictive Insights: 40.0 %, Noble Predictive Insights: 41.0 %, Morning Consult: 41.0 %)","42.80 % (Noble Predictive Insights: 41.0 %, Noble Predictive Insights: 41.0 %, Noble Predictive Insights: 44.0 %, Noble Predictive Insights: 45.0 %, Morning Consult: 43.0 %)"
04. 03.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
04. 04.,43.00 % (Morning Consult: 43.0 %),43.00 % (Morning Consult: 43.0 %)
04. 06.,42.00 % (YouGov: 42.0 %),42.00 % (YouGov: 42.0 %)
04. 07.,42.00 % (Morning Consult: 42.0 %),44.00 % (Morning Consult: 44.0 %)
04. 08.,"49.00 % (Morning Consult: 48.0 %, Marist College: 48.0 %, Marist College: 51.0 %)","45.67 % (Morning Consult: 44.0 %, Marist College: 45.0 %, Marist College: 48.0 %)"
05. 01.,"37.00 % (TIPP Insights: 34.0 %, TIPP Insights: 40.0 %)","39.00 % (TIPP Insights: 37.0 %, TIPP Insights: 41.0 %)"
05. 03.,42.00 % (YouGov: 42.0 %),44.00 % (YouGov: 44.0 %)
05. 04.,"40.50 % (TIPP Insights: 38.0 %, TIPP Insights: 43.0 %)","39.00 % (TIPP Insights: 38.0 %, TIPP Insights: 40.0 %)"
05. 06.,"44.00 % (Emerson College: 38.0 %, Emerson College: 50.0 %)","47.00 % (Emerson College: 44.0 %, Emerson College: 50.0 %)"
05. 08.,48.00 % (SurveyUSA: 48.0 %),45.00 % (SurveyUSA: 45.0 %)
06. 02.,43.00 % (YouGov: 43.0 %),44.00 % (YouGov: 44.0 %)
06. 03.,"46.50 % (Emerson College: 42.0 %, Emerson College: 51.0 %)","46.00 % (Emerson College: 43.0 %, Emerson College: 49.0 %)"
06. 06.,"42.67 % (Morning Consult: 43.0 %, Cygnal: 38.0 %, Cygnal: 45.0 %, YouGov: 42.0 %, YouGov: 46.0 %, RMG Research: 42.0 %)","43.67 % (Morning Consult: 44.0 %, Cygnal: 41.0 %, Cygnal: 47.0 %, YouGov: 43.0 %, YouGov: 44.0 %, RMG Research: 43.0 %)"
06. 07.,"40.00 % (Bendixen & Amandi International: 43.0 %, Bendixen & Amandi International: 37.0 %, Bendixen & Amandi International: 36.0 %, Bendixen & Amandi International: 42.0 %, Bendixen & Amandi International: 42.0 %)","41.00 % (Bendixen & Amandi International: 41.0 %, Bendixen & Amandi International: 40.0 %, Bendixen & Amandi International: 40.0 %, Bendixen & Amandi International: 41.0 %, Bendixen & Amandi International: 43.0 %)"
06. 08.,45.00 % (YouGov: 45.0 %),43.00 % (YouGov: 43.0 %)
07. 01.,"44.50 % (John Zogby Strategies: 46.0 %, Morning Consult: 43.0 %)","44.50 % (John Zogby Strategies: 47.0 %, Morning Consult: 42.0 %)"
07. 02.,"42.00 % (AtlasIntel: 42.0 %, AtlasIntel: 42.0 %)","41.50 % (AtlasIntel: 39.0 %, AtlasIntel: 44.0 %)"
07. 03.,43.00 % (Morning Consult: 43.0 %),43.00 % (Morning Consult: 43.0 %)
07. 04.,"43.00 % (Redfield & Wilton Strategies: 41.0 %, Morning Consult: 45.0 %, Morning Consult: 43.0 %)","42.67 % (Redfield & Wilton Strategies: 41.0 %, Morning Consult: 43.0 %, Morning Consult: 44.0 %)"
07. 06.,49.00 % (YouGov: 49.0 %),50.00 % (YouGov: 50.0 %)
07. 07.,"43.00 % (Morning Consult: 42.0 %, Pew Research Center: 47.0 %, Pew Research Center: 40.0 %)","46.00 % (Morning Consult: 44.0 %, Pew Research Center: 50.0 %, Pew Research Center: 44.0 %)"
08. 02.,41.00 % (Morning Consult: 41.0 %),45.00 % (Morning Consult: 45.0 %)
08. 04.,"39.00 % (Ipsos: 37.0 %, Ipsos: 41.0 %)","36.50 % (Ipsos: 36.0 %, Ipsos: 37.0 %)"
08. 07.,"41.09 % (Emerson College: 38.0 %, Emerson College: 39.0 %, Emerson College: 42.0 %, Emerson College: 41.0 %, Emerson College: 42.0 %, Emerson College: 39.0 %, Emerson College: 38.0 %, Emerson College: 40.0 %, Emerson College: 43.0 %, Emerson College: 40.0 %, Emerson College: 50.0 %)","47.82 % (Emerson College: 46.0 %, Emerson College: 49.0 %, Emerson College: 47.0 %, Emerson College: 48.0 %, Emerson College: 48.0 %, Emerson College: 49.0 %, Emerson College: 48.0 %, Emerson College: 48.0 %, Emerson College: 49.0 %, Emerson College: 44.0 %, Emerson College: 50.0 %)"
09. 01.,"39.71 % (YouGov: 43.0 %, Rasmussen Reports: 41.0 %, Morning Consult: 43.0 %, Ipsos: 34.0 %, Ipsos: 40.0 %, Ipsos: 29.0 %, Ipsos: 48.0 %)","40.43 % (YouGov: 43.0 %, Rasmussen Reports: 49.0 %, Morning Consult: 42.0 %, Ipsos: 33.0 %, Ipsos: 38.0 %, Ipsos: 30.0 %, Ipsos: 48.0 %)"
09. 02.,44.00 % (YouGov: 44.0 %),45.00 % (YouGov: 45.0 %)
09. 04.,42.00 % (YouGov: 42.0 %),43.00 % (YouGov: 43.0 %)
09. 06.,"40.00 % (Morning Consult: 44.0 %, Big Village: 43.0 %, Big Village: 39.0 %, Big Village: 34.0 %)","40.25 % (Morning Consult: 43.0 %, Big Village: 42.0 %, Big Village: 40.0 %, Big Village: 36.0 %)"
09. 07.,"42.50 % (YouGov: 38.0 %, YouGov: 40.0 %, Hart Research Associates/Public Opinion Strategies: 45.0 %, Hart Research Associates/Public Opinion Strategies: 37.0 %, Hart Research Associates/Public Opinion Strategies: 43.0 %, Ipsos: 49.0 %, Ipsos: 42.0 %, Ipsos: 46.0 %)","44.12 % (YouGov: 42.0 %, YouGov: 43.0 %, Hart Research Associates/Public Opinion Strategies: 47.0 %, Hart Research Associates/Public Opinion Strategies: 40.0 %, Hart Research Associates/Public Opinion Strategies: 45.0 %, Ipsos: 47.0 %, Ipsos: 43.0 %, Ipsos: 46.0 %)"
10. 03.,"43.00 % (Morning Consult: 43.0 %, HarrisX: 38.0 %, HarrisX: 48.0 %)","46.67 % (Morning Consult: 44.0 %, HarrisX: 44.0 %, HarrisX: 52.0 %)"
10. 06.,43.00 % (Morning Consult: 43.0 %),44.00 % (Morning Consult: 44.0 %)
10. 07.,"47.40 % (Marist College: 50.0 %, Marist College: 49.0 %, Marist College: 50.0 %, Marist College: 42.0 %, Marist College: 50.0 %, Beacon Research/Shaw & Company Research: 48.0 %, Beacon Research/Shaw & Company Research: 48.0 %, Beacon Research/Shaw & Company Research: 48.0 %, Beacon Research/Shaw & Company Research: 48.0 %, Beacon Research/Shaw & Company Research: 41.0 %)","47.60 % (Marist College: 48.0 %, Marist College: 49.0 %, Marist College: 49.0 %, Marist College: 43.0 %, Marist College: 48.0 %, Beacon Research/Shaw & Company Research: 48.0 %, Beacon Research/Shaw & Company Research: 49.0 %, Beacon Research/Shaw & Company Research: 49.0 %, Beacon Research/Shaw & Company Research: 49.0 %, Beacon Research/Shaw & Company Research: 44.0 %)"
11. 02.,42.00 % (Morning Consult: 42.0 %),43.00 % (Morning Consult: 43.0 %)
11. 03.,"41.75 % (Morning Consult: 44.0 %, YouGov: 41.0 %, YouGov: 44.0 %, Suffolk University: 38.0 %)","43.00 % (Morning Consult: 43.0 %, YouGov: 43.0 %, YouGov: 46.0 %, Suffolk University: 40.0 %)"
11. 04.,"43.40 % (Morning Consult: 44.0 %, The New York Times/Siena College: 42.0 %, The New York Times/Siena College: 46.0 %, The New York Times/Siena College: 40.0 %, The New York Times/Siena College: 45.0 %)","44.20 % (Morning Consult: 43.0 %, The New York Times/Siena College: 43.0 %, The New York Times/Siena College: 47.0 %, The New York Times/Siena College: 42.0 %, The New York Times/Siena College: 46.0 %)"
11. 06.,"42.50 % (YouGov: 40.0 %, Civiqs: 45.0 %)","43.50 % (YouGov: 42.0 %, Civiqs: 45.0 %)"
11. 07.,"41.71 % (Morning Consult: 42.0 %, Noble Predictive Insights: 43.0 %, Noble Predictive Insights: 38.0 %, Noble Predictive Insights: 42.0 %, Noble Predictive Insights: 44.0 %, Noble Predictive Insights: 40.0 %, Noble Predictive Insights: 43.0 %)","45.00 % (Morning Consult: 44.0 %, Noble Predictive Insights: 47.0 %, Noble Predictive Insights: 42.0 %, Noble Predictive Insights: 45.0 %, Noble Predictive Insights: 48.0 %, Noble Predictive Insights: 43.0 %, Noble Predictive Insights: 46.0 %)"
11. 08.,"44.83 % (Morning Consult: 47.0 %, Big Village: 47.0 %, Big Village: 46.0 %, Big Village: 42.0 %, J.L. Partners: 41.0 %, Pew Research Center: 46.0 %)","42.83 % (Morning Consult: 44.0 %, Big Village: 44.0 %, Big Village: 42.0 %, Big Village: 39.0 %, J.L. Partners: 43.0 %, Pew Research Center: 45.0 %)"
12. 01.,"42.80 % (Cygnal: 41.0 %, Cygnal: 46.0 %, YouGov: 48.0 %, Morning Consult: 42.0 %, Angus Reid Global: 37.0 %)","43.80 % (Cygnal: 42.0 %, Cygnal: 47.0 %, YouGov: 50.0 %, Morning Consult: 43.0 %, Angus Reid Global: 37.0 %)"
12. 02.,34.00 % (Ipsos: 34.0 %),37.00 % (Ipsos: 37.0 %)
12. 03.,"43.50 % (YouGov: 42.0 %, Civiqs: 45.0 %)","44.00 % (YouGov: 44.0 %, Civiqs: 44.0 %)"
12. 06.,"44.20 % (Redfield & Wilton Strategies: 41.0 %, Marist College: 41.0 %, Marist College: 49.0 %, Echelon Insights: 42.0 %, Echelon Insights: 48.0 %)","44.20 % (Redfield & Wilton Strategies: 40.0 %, Marist College: 42.0 %, Marist College: 49.0 %, Echelon Insights: 43.0 %, Echelon Insights: 47.0 %)"
12. 08.,"47.00 % (Beacon Research/Shaw & Company Research: 49.0 %, Beacon Research/Shaw & Company Research: 45.0 %)","47.50 % (Beacon Research/Shaw & Company Research: 50.0 %, Beacon Research/Shaw & Company Research: 45.0 %)"
13. 02.,"43.00 % (YouGov: 44.0 %, Morning Consult: 42.0 %)","44.00 % (YouGov: 44.0 %, Morning Consult: 44.0 %)"
13. 03.,"39.25 % (Public Policy Polling: 46.0 %, Big Village: 40.0 %, Big Village: 37.0 %, Big Village: 33.0 %, Ipsos: 31.0 %, Ipsos: 43.0 %, Ipsos: 34.0 %, Ipsos: 50.0 %)","39.38 % (Public Policy Polling: 45.0 %, Big Village: 41.0 %, Big Village: 39.0 %, Big Village: 36.0 %, Ipsos: 32.0 %, Ipsos: 38.0 %, Ipsos: 36.0 %, Ipsos: 48.0 %)"
13. 06.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
13. 07.,"42.17 % (3W Insights: 43.0 %, Manhattan Institute: 46.0 %, Manhattan Institute: 43.0 %, Manhattan Institute: 45.0 %, Manhattan Institute: 36.0 %, Manhattan Institute: 40.0 %)","46.17 % (3W Insights: 46.0 %, Manhattan Institute: 48.0 %, Manhattan Institute: 47.0 %, Manhattan Institute: 48.0 %, Manhattan Institute: 44.0 %, Manhattan Institute: 44.0 %)"
13. 08.,46.00 % (YouGov: 46.0 %),44.00 % (YouGov: 44.0 %)
14. 02.,"39.43 % (Emerson College: 36.0 %, Emerson College: 33.0 %, Emerson College: 43.0 %, Emerson College: 38.0 %, Emerson College: 44.0 %, Echelon Insights: 37.0 %, Echelon Insights: 45.0 %)","44.71 % (Emerson College: 46.0 %, Emerson College: 45.0 %, Emerson College: 46.0 %, Emerson College: 40.0 %, Emerson College: 45.0 %, Echelon Insights: 42.0 %, Echelon Insights: 49.0 %)"
14. 03.,"40.25 % (Morning Consult: 43.0 %, McLaughlin & Associates: 34.0 %, McLaughlin & Associates: 41.0 %, McLaughlin & Associates: 43.0 %)","45.00 % (Morning Consult: 43.0 %, McLaughlin & Associates: 38.0 %, McLaughlin & Associates: 50.0 %, McLaughlin & Associates: 49.0 %)"
14. 04.,"44.00 % (Morning Consult: 42.0 %, Echelon Insights: 41.0 %, Echelon Insights: 49.0 %)","43.33 % (Morning Consult: 44.0 %, Echelon Insights: 40.0 %, Echelon Insights: 46.0 %)"
14. 06.,41.00 % (YouGov: 41.0 %),39.00 % (YouGov: 39.0 %)
14. 07.,"37.12 % (3W Insights: 43.0 %, Morning Consult: 42.0 %, Big Village: 37.0 %, Big Village: 34.0 %, Big Village: 30.0 %, Big Village: 41.0 %, Big Village: 37.0 %, Big Village: 33.0 %)","40.62 % (3W Insights: 47.0 %, Morning Consult: 44.0 %, Big Village: 42.0 %, Big Village: 39.0 %, Big Village: 37.0 %, Big Village: 41.0 %, Big Village: 39.0 %, Big Village: 36.0 %)"
14. 08.,"50.67 % (Emerson College: 48.0 %, Emerson College: 52.0 %, ActiVote: 52.0 %)","46.67 % (Emerson College: 44.0 %, Emerson College: 48.0 %, ActiVote: 48.0 %)"
15. 01.,41.00 % (Morning Consult: 41.0 %),43.00 % (Morning Consult: 43.0 %)
15. 02.,"42.33 % (Rasmussen Reports: 37.0 %, Rasmussen Reports: 41.0 %, Marquette University Law School: 40.0 %, Marquette University Law School: 39.0 %, Marquette University Law School: 48.0 %, Marquette University Law School: 49.0 %)","46.33 % (Rasmussen Reports: 43.0 %, Rasmussen Reports: 47.0 %, Marquette University Law School: 43.0 %, Marquette University Law School: 42.0 %, Marquette University Law School: 52.0 %, Marquette University Law School: 51.0 %)"
15. 03.,"42.50 % (Noble Predictive Insights: 40.0 %, Noble Predictive Insights: 45.0 %)","44.50 % (Noble Predictive Insights: 43.0 %, Noble Predictive Insights: 46.0 %)"
15. 04.,"42.33 % (Morning Consult: 41.0 %, YouGov: 42.0 %, YouGov: 44.0 %)","43.33 % (Morning Consult: 44.0 %, YouGov: 42.0 %, YouGov: 44.0 %)"
15. 07.,"43.20 % (HarrisX: 48.0 %, HarrisX: 39.0 %, HarrisX: 40.0 %, HarrisX: 49.0 %, SurveyUSA: 35.0 %, SurveyUSA: 45.0 %, SurveyUSA: 42.0 %, SurveyUSA: 43.0 %, ActiVote: 41.0 %, ActiVote: 50.0 %)","46.40 % (HarrisX: 52.0 %, HarrisX: 43.0 %, HarrisX: 44.0 %, HarrisX: 51.0 %, SurveyUSA: 46.0 %, SurveyUSA: 45.0 %, SurveyUSA: 45.0 %, SurveyUSA: 44.0 %, ActiVote: 43.0 %, ActiVote: 51.0 %)"
15. 08.,"51.00 % (Outward Intelligence: 49.0 %, Outward Intelligence: 53.0 %)","45.00 % (Outward Intelligence: 43.0 %, Outward Intelligence: 47.0 %)"
16. 01.,44.00 % (YouGov: 44.0 %),43.00 % (YouGov: 43.0 %)
16. 02.,"41.33 % (Morning Consult: 42.0 %, HarrisX: 36.0 %, HarrisX: 46.0 %)","47.67 % (Morning Consult: 45.0 %, HarrisX: 44.0 %, HarrisX: 54.0 %)"
16. 04.,"42.14 % (YouGov: 44.0 %, Civiqs: 44.0 %, Hart Research Associates/Public Opinion Strategies: 39.0 %, Hart Research Associates/Public Opinion Strategies: 44.0 %, McLaughlin & Associates: 36.0 %, McLaughlin & Associates: 43.0 %, McLaughlin & Associates: 45.0 %)","44.00 % (YouGov: 44.0 %, Civiqs: 45.0 %, Hart Research Associates/Public Opinion Strategies: 37.0 %, Hart Research Associates/Public Opinion Strategies: 46.0 %, McLaughlin & Associates: 38.0 %, McLaughlin & Associates: 49.0 %, McLaughlin & Associates: 49.0 %)"
16. 06.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
16. 07.,"39.30 % (Ipsos: 44.0 %, Ipsos: 39.0 %, Ipsos: 39.0 %, Ipsos: 34.0 %, Ipsos: 36.0 %, Ipsos: 41.0 %, Emerson College: 38.0 %, Emerson College: 42.0 %, YouGov: 39.0 %, YouGov: 41.0 %)","41.90 % (Ipsos: 44.0 %, Ipsos: 40.0 %, Ipsos: 40.0 %, Ipsos: 36.0 %, Ipsos: 39.0 %, Ipsos: 43.0 %, Emerson College: 44.0 %, Emerson College: 46.0 %, YouGov: 44.0 %, YouGov: 43.0 %)"
17. 01.,"44.00 % (HarrisX: 40.0 %, HarrisX: 48.0 %)","47.50 % (HarrisX: 43.0 %, HarrisX: 52.0 %)"
17. 03.,"43.00 % (Morning Consult: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 47.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Selzer & Co.: 38.0 %)","44.25 % (Morning Consult: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 45.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Selzer & Co.: 45.0 %)"
17. 04.,"44.50 % (Emerson College: 40.0 %, Emerson College: 49.0 %)","48.00 % (Emerson College: 44.0 %, Emerson College: 52.0 %)"
17. 06.,"44.50 % (Redfield & Wilton Strategies: 41.0 %, Morning Consult: 44.0 %, Beacon Research/Shaw & Company Research: 50.0 %, Beacon Research/Shaw & Company Research: 43.0 %)","43.50 % (Redfield & Wilton Strategies: 41.0 %, Morning Consult: 43.0 %, Beacon Research/Shaw & Company Research: 48.0 %, Beacon Research/Shaw & Company Research: 42.0 %)"
17. 07.,"43.67 % (RMG Research: 46.0 %, Morning Consult: 42.0 %, 3W Insights: 43.0 %)","48.00 % (RMG Research: 51.0 %, Morning Consult: 46.0 %, 3W Insights: 47.0 %)"
18. 01.,"39.83 % (HarrisX/Harris Poll: 33.0 %, HarrisX/Harris Poll: 36.0 %, HarrisX/Harris Poll: 47.0 %, Morning Consult: 42.0 %, Echelon Insights: 35.0 %, Echelon Insights: 46.0 %)","45.33 % (HarrisX/Harris Poll: 44.0 %, HarrisX/Harris Poll: 44.0 %, HarrisX/Harris Poll: 53.0 %, Morning Consult: 43.0 %, Echelon Insights: 41.0 %, Echelon Insights: 47.0 %)"
18. 03.,43.00 % (Morning Consult: 43.0 %),44.00 % (Morning Consult: 44.0 %)
18. 04.,"46.00 % (Morning Consult: 44.0 %, Marist College: 43.0 %, Marist College: 51.0 %)","42.67 % (Morning Consult: 42.0 %, Marist College: 38.0 %, Marist College: 48.0 %)"
18. 06.,42.00 % (YouGov: 42.0 %),42.00 % (YouGov: 42.0 %)
18. 07.,"47.50 % (YouGov: 48.0 %, YouGov: 47.0 %)","51.50 % (YouGov: 51.0 %, YouGov: 52.0 %)"
