Date,Biden,Trump
19. 02.,"42.67 % (Morning Consult: 41.0 %, Quinnipiac University: 38.0 %, Quinnipiac University: 49.0 %)","42.33 % (Morning Consult: 45.0 %, Quinnipiac University: 37.0 %, Quinnipiac University: 45.0 %)"
19. 03.,"44.50 % (YouGov: 44.0 %, Hart Research Associates/Public Opinion Strategies: 45.0 %)","44.50 % (YouGov: 43.0 %, Hart Research Associates/Public Opinion Strategies: 46.0 %)"
20. 02.,42.00 % (YouGov: 42.0 %),43.00 % (YouGov: 43.0 %)
20. 04.,45.00 % (University of North Florida Public Opinion Research Lab: 45.0 %),47.00 % (University of North Florida Public Opinion Research Lab: 47.0 %)
20. 06.,43.00 % (Morning Consult: 43.0 %),44.00 % (Morning Consult: 44.0 %)
21. 01.,"38.00 % (Morning Consult: 40.0 %, HarrisX: 33.0 %, HarrisX: 41.0 %)","45.00 % (Morning Consult: 45.0 %, HarrisX: 42.0 %, HarrisX: 48.0 %)"
21. 03.,"42.67 % (HarrisX/Harris Poll: 38.0 %, HarrisX/Harris Poll: 39.0 %, HarrisX/Harris Poll: 49.0 %, Morning Consult: 43.0 %, Echelon Insights: 40.0 %, Echelon Insights: 47.0 %)","45.17 % (HarrisX/Harris Poll: 43.0 %, HarrisX/Harris Poll: 43.0 %, HarrisX/Harris Poll: 51.0 %, Morning Consult: 42.0 %, Echelon Insights: 43.0 %, Echelon Insights: 49.0 %)"
21. 04.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
21. 06.,"46.33 % (YouGov: 49.0 %, ActiVote: 42.0 %, ActiVote: 48.0 %)","48.67 % (YouGov: 50.0 %, ActiVote: 44.0 %, ActiVote: 52.0 %)"
21. 07.,"41.86 % (Quinnipiac University: 41.0 %, Quinnipiac University: 47.0 %, Quinnipiac University: 39.0 %, Quinnipiac University: 45.0 %, HarrisX: 46.0 %, HarrisX: 47.0 %, HarrisX: 38.0 %, HarrisX: 37.0 %, HarrisX: 38.0 %, HarrisX: 37.0 %, HarrisX: 46.0 %, HarrisX: 47.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 39.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 38.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 37.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 36.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 41.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 40.0 %, Echelon Insights: 43.0 %, Echelon Insights: 46.0 %, Echelon Insights: 43.0 %, Echelon Insights: 42.0 %, Echelon Insights: 49.0 %, Echelon Insights: 47.0 %, The Bullfinch Group: 35.0 %, The Bullfinch Group: 41.0 %)","47.57 % (Quinnipiac University: 45.0 %, Quinnipiac University: 49.0 %, Quinnipiac University: 44.0 %, Quinnipiac University: 48.0 %, HarrisX: 54.0 %, HarrisX: 53.0 %, HarrisX: 48.0 %, HarrisX: 46.0 %, HarrisX: 49.0 %, HarrisX: 46.0 %, HarrisX: 54.0 %, HarrisX: 53.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 45.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 49.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 47.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 45.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 49.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 48.0 %, Echelon Insights: 50.0 %, Echelon Insights: 48.0 %, Echelon Insights: 49.0 %, Echelon Insights: 43.0 %, Echelon Insights: 48.0 %, Echelon Insights: 49.0 %, The Bullfinch Group: 40.0 %, The Bullfinch Group: 46.0 %)"
22. 01.,"41.00 % (Morning Consult: 40.0 %, The Bullfinch Group: 42.0 %)","46.00 % (Morning Consult: 45.0 %, The Bullfinch Group: 47.0 %)"
22. 02.,"39.90 % (HarrisX/Harris Poll: 36.0 %, HarrisX/Harris Poll: 37.0 %, HarrisX/Harris Poll: 47.0 %, Morning Consult: 42.0 %, McLaughlin & Associates: 37.0 %, McLaughlin & Associates: 35.0 %, McLaughlin & Associates: 46.0 %, McLaughlin & Associates: 44.0 %, The Bullfinch Group: 38.0 %, The Bullfinch Group: 37.0 %)","43.80 % (HarrisX/Harris Poll: 44.0 %, HarrisX/Harris Poll: 44.0 %, HarrisX/Harris Poll: 53.0 %, Morning Consult: 42.0 %, McLaughlin & Associates: 41.0 %, McLaughlin & Associates: 39.0 %, McLaughlin & Associates: 47.0 %, McLaughlin & Associates: 46.0 %, The Bullfinch Group: 41.0 %, The Bullfinch Group: 41.0 %)"
22. 03.,47.00 % (ActiVote: 47.0 %),53.00 % (ActiVote: 53.0 %)
22. 04.,"41.00 % (Morning Consult: 43.0 %, Quinnipiac University: 37.0 %, Quinnipiac University: 46.0 %, Change Research: 38.0 %)","41.25 % (Morning Consult: 43.0 %, Quinnipiac University: 37.0 %, Quinnipiac University: 46.0 %, Change Research: 39.0 %)"
22. 07.,"42.25 % (Morning Consult: 45.0 %, YouGov: 39.0 %, YouGov: 41.0 %, YouGov: 40.0 %, YouGov: 46.0 %, YouGov: 41.0 %, YouGov: 45.0 %, YouGov: 41.0 %)","45.25 % (Morning Consult: 47.0 %, YouGov: 46.0 %, YouGov: 46.0 %, YouGov: 46.0 %, YouGov: 46.0 %, YouGov: 43.0 %, YouGov: 45.0 %, YouGov: 43.0 %)"
23. 01.,43.00 % (YouGov: 43.0 %),44.00 % (YouGov: 44.0 %)
23. 02.,"44.00 % (HarrisX: 40.0 %, HarrisX: 48.0 %)","47.00 % (HarrisX: 42.0 %, HarrisX: 52.0 %)"
23. 04.,"39.67 % (YouGov: 43.0 %, CNN/SSRS: 33.0 %, CNN/SSRS: 43.0 %)","44.67 % (YouGov: 43.0 %, CNN/SSRS: 42.0 %, CNN/SSRS: 49.0 %)"
23. 06.,44.00 % (Morning Consult: 44.0 %),44.00 % (Morning Consult: 44.0 %)
23. 07.,"42.88 % (YouGov: 44.0 %, RMG Research: 46.0 %, Ipsos: 42.0 %, Ipsos: 37.0 %, Ipsos: 44.0 %, Ipsos: 39.0 %, YouGov: 41.0 %, ActiVote: 50.0 %)","42.75 % (YouGov: 46.0 %, RMG Research: 48.0 %, Ipsos: 38.0 %, Ipsos: 34.0 %, Ipsos: 42.0 %, Ipsos: 39.0 %, YouGov: 44.0 %, ActiVote: 51.0 %)"
24. 01.,"34.00 % (Ipsos: 34.0 %, Ipsos: 38.0 %, Ipsos: 30.0 %, Ipsos: 34.0 %)","39.50 % (Ipsos: 39.0 %, Ipsos: 43.0 %, Ipsos: 36.0 %, Ipsos: 40.0 %)"
24. 03.,"42.50 % (Morning Consult: 44.0 %, J.L. Partners: 44.0 %, J.L. Partners: 43.0 %, J.L. Partners: 39.0 %)","44.75 % (Morning Consult: 43.0 %, J.L. Partners: 47.0 %, J.L. Partners: 46.0 %, J.L. Partners: 43.0 %)"
24. 06.,"41.45 % (Leger: 38.0 %, Leger: 43.0 %, Quinnipiac University: 37.0 %, Quinnipiac University: 45.0 %, McLaughlin & Associates: 40.0 %, McLaughlin & Associates: 39.0 %, McLaughlin & Associates: 46.0 %, McLaughlin & Associates: 45.0 %, McLaughlin & Associates: 37.0 %, McLaughlin & Associates: 42.0 %, McLaughlin & Associates: 44.0 %)","43.45 % (Leger: 38.0 %, Leger: 41.0 %, Quinnipiac University: 43.0 %, Quinnipiac University: 49.0 %, McLaughlin & Associates: 42.0 %, McLaughlin & Associates: 40.0 %, McLaughlin & Associates: 47.0 %, McLaughlin & Associates: 46.0 %, McLaughlin & Associates: 39.0 %, McLaughlin & Associates: 47.0 %, McLaughlin & Associates: 46.0 %)"
24. 07.,"42.56 % (The New York Times/Siena College: 44.0 %, The New York Times/Siena College: 42.0 %, The New York Times/Siena College: 47.0 %, The New York Times/Siena College: 46.0 %, SurveyMonkey: 38.0 %, Change Research: 44.0 %, Big Village: 43.0 %, Big Village: 41.0 %, Big Village: 38.0 %)","43.00 % (The New York Times/Siena College: 43.0 %, The New York Times/Siena College: 42.0 %, The New York Times/Siena College: 48.0 %, The New York Times/Siena College: 48.0 %, SurveyMonkey: 39.0 %, Change Research: 43.0 %, Big Village: 44.0 %, Big Village: 42.0 %, Big Village: 38.0 %)"
25. 01.,42.00 % (Morning Consult: 42.0 %),44.00 % (Morning Consult: 44.0 %)
25. 02.,"40.33 % (Morning Consult: 43.0 %, Leger: 42.0 %, Leger: 36.0 %)","42.67 % (Morning Consult: 44.0 %, Leger: 45.0 %, Leger: 39.0 %)"
25. 03.,"42.00 % (Leger: 37.0 %, Leger: 43.0 %, Beacon Research/Shaw & Company Research: 45.0 %, Beacon Research/Shaw & Company Research: 45.0 %, Beacon Research/Shaw & Company Research: 38.0 %, Quinnipiac University: 38.0 %, Quinnipiac University: 48.0 %)","45.14 % (Leger: 41.0 %, Leger: 47.0 %, Beacon Research/Shaw & Company Research: 51.0 %, Beacon Research/Shaw & Company Research: 50.0 %, Beacon Research/Shaw & Company Research: 43.0 %, Quinnipiac University: 39.0 %, Quinnipiac University: 45.0 %)"
25. 04.,"43.67 % (HarrisX/Harris Poll: 39.0 %, HarrisX/Harris Poll: 41.0 %, HarrisX/Harris Poll: 48.0 %, Morning Consult: 42.0 %, Marist College: 42.0 %, Marist College: 50.0 %)","46.00 % (HarrisX/Harris Poll: 46.0 %, HarrisX/Harris Poll: 45.0 %, HarrisX/Harris Poll: 52.0 %, Morning Consult: 43.0 %, Marist College: 42.0 %, Marist College: 48.0 %)"
25. 06.,"39.40 % (YouGov: 42.0 %, The New York Times/Siena College: 37.0 %, The New York Times/Siena College: 32.0 %, The New York Times/Siena College: 44.0 %, The New York Times/Siena College: 42.0 %)","43.40 % (YouGov: 42.0 %, The New York Times/Siena College: 40.0 %, The New York Times/Siena College: 39.0 %, The New York Times/Siena College: 48.0 %, The New York Times/Siena College: 48.0 %)"
25. 07.,"45.38 % (Ipsos: 38.0 %, Morning Consult: 46.0 %, Fabrizio, Lee & Associates/GBAO: 47.0 %, Fabrizio, Lee & Associates/GBAO: 45.0 %, AtlasIntel: 46.0 %, AtlasIntel: 48.0 %, Angus Reid Global: 44.0 %, HarrisX: 45.0 %, HarrisX: 44.0 %, HarrisX: 45.0 %, HarrisX: 44.0 %, HarrisX: 49.0 %, HarrisX: 49.0 %)","46.15 % (Ipsos: 38.0 %, Morning Consult: 45.0 %, Fabrizio, Lee & Associates/GBAO: 49.0 %, Fabrizio, Lee & Associates/GBAO: 44.0 %, AtlasIntel: 48.0 %, AtlasIntel: 50.0 %, Angus Reid Global: 42.0 %, HarrisX: 46.0 %, HarrisX: 44.0 %, HarrisX: 47.0 %, HarrisX: 45.0 %, HarrisX: 51.0 %, HarrisX: 51.0 %)"
26. 02.,47.00 % (ActiVote: 47.0 %),53.00 % (ActiVote: 53.0 %)
26. 03.,43.00 % (YouGov: 43.0 %),44.00 % (YouGov: 44.0 %)
27. 02.,44.00 % (YouGov: 44.0 %),44.00 % (YouGov: 44.0 %)
27. 03.,46.00 % (Clarity Campaign Labs: 46.0 %),50.00 % (Clarity Campaign Labs: 50.0 %)
27. 07.,"45.25 % (Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 48.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 46.0 %)","44.25 % (Florida Atlantic University PolCom Lab/Mainstreet Research: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 42.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 46.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 46.0 %)"
28. 01.,"38.40 % (Morning Consult: 42.0 %, Leger: 36.0 %, Big Village: 42.0 %, Big Village: 38.0 %, Big Village: 34.0 %)","38.80 % (Morning Consult: 44.0 %, Leger: 37.0 %, Big Village: 39.0 %, Big Village: 38.0 %, Big Village: 36.0 %)"
28. 02.,"42.00 % (Ipsos: 36.0 %, The New York Times/Siena College: 42.0 %, The New York Times/Siena College: 41.0 %, The New York Times/Siena College: 44.0 %, The New York Times/Siena College: 43.0 %, Beacon Research/Shaw & Company Research: 47.0 %, Beacon Research/Shaw & Company Research: 38.0 %, HarrisX: 38.0 %, HarrisX: 48.0 %, Fabrizio, Lee & Associates/GBAO: 45.0 %, Fabrizio, Lee & Associates/GBAO: 35.0 %, KFF: 47.0 %)","45.25 % (Ipsos: 36.0 %, The New York Times/Siena College: 48.0 %, The New York Times/Siena College: 47.0 %, The New York Times/Siena College: 48.0 %, The New York Times/Siena College: 48.0 %, Beacon Research/Shaw & Company Research: 49.0 %, Beacon Research/Shaw & Company Research: 41.0 %, HarrisX: 43.0 %, HarrisX: 52.0 %, Fabrizio, Lee & Associates/GBAO: 47.0 %, Fabrizio, Lee & Associates/GBAO: 40.0 %, KFF: 44.0 %)"
28. 03.,"45.29 % (Morning Consult: 43.0 %, Marist College: 43.0 %, Marist College: 50.0 %, Marquette University Law School: 41.0 %, Marquette University Law School: 38.0 %, Marquette University Law School: 52.0 %, Marquette University Law School: 50.0 %)","44.71 % (Morning Consult: 44.0 %, Marist College: 41.0 %, Marist College: 48.0 %, Marquette University Law School: 41.0 %, Marquette University Law School: 41.0 %, Marquette University Law School: 48.0 %, Marquette University Law School: 50.0 %)"
28. 04.,"42.57 % (Morning Consult: 43.0 %, Leger: 38.0 %, Leger: 42.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 40.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 47.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %)","42.14 % (Morning Consult: 43.0 %, Leger: 41.0 %, Leger: 43.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 40.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 38.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 46.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %)"
28. 06.,"40.25 % (Leger: 38.0 %, TIPP Insights: 40.0 %, TIPP Insights: 43.0 %, AtlasIntel: 40.0 %)","42.75 % (Leger: 45.0 %, TIPP Insights: 39.0 %, TIPP Insights: 41.0 %, AtlasIntel: 46.0 %)"
28. 07.,"45.93 % (Morning Consult: 47.0 %, Leger: 48.0 %, Ipsos: 43.0 %, HarrisX/Harris Poll: 43.0 %, HarrisX/Harris Poll: 44.0 %, HarrisX/Harris Poll: 48.0 %, Big Data Poll: 44.0 %, Big Data Poll: 43.0 %, Big Data Poll: 46.0 %, Big Data Poll: 45.0 %, Big Data Poll: 47.0 %, Big Data Poll: 46.0 %, Big Data Poll: 50.0 %, Big Data Poll: 49.0 %)","46.64 % (Morning Consult: 46.0 %, Leger: 41.0 %, Ipsos: 42.0 %, HarrisX/Harris Poll: 47.0 %, HarrisX/Harris Poll: 47.0 %, HarrisX/Harris Poll: 52.0 %, Big Data Poll: 45.0 %, Big Data Poll: 44.0 %, Big Data Poll: 46.0 %, Big Data Poll: 46.0 %, Big Data Poll: 48.0 %, Big Data Poll: 47.0 %, Big Data Poll: 51.0 %, Big Data Poll: 51.0 %)"
29. 01.,"42.14 % (Emerson College: 37.0 %, Emerson College: 39.0 %, Emerson College: 45.0 %, YouGov: 41.0 %, YouGov: 44.0 %, Quinnipiac University: 39.0 %, Quinnipiac University: 50.0 %)","42.43 % (Emerson College: 42.0 %, Emerson College: 41.0 %, Emerson College: 46.0 %, YouGov: 42.0 %, YouGov: 45.0 %, Quinnipiac University: 37.0 %, Quinnipiac University: 44.0 %)"
29. 02.,42.00 % (Morning Consult: 42.0 %),44.00 % (Morning Consult: 44.0 %)
29. 03.,"44.00 % (Data for Progress: 41.0 %, Data for Progress: 47.0 %)","44.00 % (Data for Progress: 42.0 %, Data for Progress: 46.0 %)"
29. 06.,"41.50 % (Patriot Polling: 41.0 %, Morning Consult: 42.0 %)","44.00 % (Patriot Polling: 44.0 %, Morning Consult: 44.0 %)"
29. 07.,"45.83 % (American Pulse Research & Polling: 50.0 %, American Pulse Research & Polling: 46.0 %, ActiVote: 44.0 %, ActiVote: 49.0 %, McLaughlin & Associates: 41.0 %, McLaughlin & Associates: 45.0 %)","46.83 % (American Pulse Research & Polling: 48.0 %, American Pulse Research & Polling: 47.0 %, ActiVote: 46.0 %, ActiVote: 51.0 %, McLaughlin & Associates: 42.0 %, McLaughlin & Associates: 47.0 %)"
30. 01.,"42.83 % (YouGov: 43.0 %, Civiqs: 44.0 %, Hart Research Associates/Public Opinion Strategies: 42.0 %, YouGov: 39.0 %, SSRS: 45.0 %, YouGov: 44.0 %)","45.00 % (YouGov: 42.0 %, Civiqs: 44.0 %, Hart Research Associates/Public Opinion Strategies: 47.0 %, YouGov: 43.0 %, SSRS: 49.0 %, YouGov: 45.0 %)"
30. 04.,"40.10 % (Ipsos: 34.0 %, Ipsos: 39.0 %, Ipsos: 35.0 %, Ipsos: 40.0 %, YouGov: 43.0 %, Ipsos: 49.0 %, Ipsos: 35.0 %, Ipsos: 38.0 %, ActiVote: 41.0 %, ActiVote: 47.0 %)","41.30 % (Ipsos: 36.0 %, Ipsos: 38.0 %, Ipsos: 37.0 %, Ipsos: 39.0 %, YouGov: 44.0 %, Ipsos: 45.0 %, Ipsos: 37.0 %, Ipsos: 40.0 %, ActiVote: 44.0 %, ActiVote: 53.0 %)"
30. 06.,"41.14 % (Florida Atlantic University PolCom Lab/Mainstreet Research: 39.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 37.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 42.0 %, Suffolk University: 38.0 %, Morning Consult: 43.0 %, HarrisX/Harris Poll: 35.0 %, HarrisX/Harris Poll: 39.0 %, HarrisX/Harris Poll: 48.0 %, HarrisX: 38.0 %, HarrisX: 40.0 %, HarrisX: 47.0 %, HarrisX: 37.0 %, HarrisX: 38.0 %, HarrisX: 48.0 %, CNN/SSRS: 42.0 %, CNN/SSRS: 43.0 %, CNN/SSRS: 43.0 %, CNN/SSRS: 45.0 %, CNN/SSRS: 35.0 %, CNN/SSRS: 43.0 %)","45.43 % (Florida Atlantic University PolCom Lab/Mainstreet Research: 42.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 41.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 46.0 %, Florida Atlantic University PolCom Lab/Mainstreet Research: 44.0 %, Suffolk University: 41.0 %, Morning Consult: 44.0 %, HarrisX/Harris Poll: 43.0 %, HarrisX/Harris Poll: 46.0 %, HarrisX/Harris Poll: 52.0 %, HarrisX: 43.0 %, HarrisX: 43.0 %, HarrisX: 53.0 %, HarrisX: 42.0 %, HarrisX: 43.0 %, HarrisX: 52.0 %, CNN/SSRS: 47.0 %, CNN/SSRS: 47.0 %, CNN/SSRS: 48.0 %, CNN/SSRS: 47.0 %, CNN/SSRS: 41.0 %, CNN/SSRS: 49.0 %)"
30. 07.,"47.50 % (YouGov: 46.0 %, Civiqs: 49.0 %)","44.50 % (YouGov: 44.0 %, Civiqs: 45.0 %)"
31. 01.,"40.00 % (Morning Consult: 41.0 %, McLaughlin & Associates: 34.0 %, McLaughlin & Associates: 42.0 %, McLaughlin & Associates: 43.0 %)","45.25 % (Morning Consult: 45.0 %, McLaughlin & Associates: 39.0 %, McLaughlin & Associates: 50.0 %, McLaughlin & Associates: 47.0 %)"
31. 03.,"39.80 % (Trafalgar Groupis a partisan pollster for the Republican Party.Trafalgar Group: 40.0 %, Morning Consult: 44.0 %, Big Village: 42.0 %, Big Village: 39.0 %, Big Village: 34.0 %)","39.60 % (Trafalgar Groupis a partisan pollster for the Republican Party.Trafalgar Group: 43.0 %, Morning Consult: 42.0 %, Big Village: 40.0 %, Big Village: 38.0 %, Big Village: 35.0 %)"
31. 07.,47.00 % (RMG Research: 47.0 %),42.00 % (RMG Research: 42.0 %)
